phase,min_temp,max_temp,n_sweeps,n_reads,n_replicas,runtime_s,success_rate,best_energy
coarse_temp,0.0001,0.0001,50,1000,1,2.073457956314087,0.0,-62.08319936412662
coarse_temp,0.001,0.001,50,1000,1,0.0727548599243164,0.0,-62.08319936412662
coarse_temp,0.01,0.01,50,1000,1,0.07236194610595703,0.0,-62.08319936412662
coarse_temp,0.1,0.1,50,1000,1,0.07248520851135254,0.0,-62.08319936412662
coarse_temp,1.0,1.0,50,1000,1,0.07278704643249512,0.0,-62.08319936412662
coarse_temp,10.0,10.0,50,1000,1,0.07601690292358398,0.0,-62.08319936412662
fine_temp,0.0001,0.0001,50,1000,1,0.07308578491210938,0.0,-62.08319936412662
fine_temp,0.00028,0.00028,50,1000,1,0.07405495643615723,0.0,-62.08319936412662
fine_temp,0.00045999999999999996,0.00045999999999999996,50,1000,1,0.0733640193939209,0.0,-62.08319936412662
fine_temp,0.0006399999999999999,0.0006399999999999999,50,1000,1,0.07270407676696777,0.0,-62.08319936412662
fine_temp,0.00082,0.00082,50,1000,1,0.07297468185424805,0.0,-62.08319936412662
fine_temp,0.001,0.001,50,1000,1,0.07224297523498535,0.0,-62.08319936412662
sweeps,0.0001,0.0001,10,1000,1,0.03441214561462402,0.0,-62.08319936412662
sweeps,0.0001,0.0001,20,1000,1,0.044328927993774414,0.0,-62.08319936412662
sweeps,0.0001,0.0001,30,1000,1,0.05336189270019531,0.0,-62.08319936412662
sweeps,0.0001,0.0001,50,1000,1,0.07252311706542969,0.0,-62.08319936412662
sweeps,0.0001,0.0001,100,1000,1,0.11926794052124023,0.0,-62.08319936412662
replicas,0.0001,0.0001,50,1000,1,0.07244610786437988,0.0,-62.08319936412662
replicas,0.0001,0.0001,50,1000,2,7.754138946533203,0.0,-62.08319936412662
replicas,0.0001,0.0001,50,1000,4,5.904954195022583,0.0,-62.08319936412662
replicas,0.0001,0.0001,50,1000,8,5.945653915405273,0.0,-62.08319936412662
